Batch,Loss,Elapsed_Min
26800,0.1803,64.49
26900,0.0857,64.73
27000,0.2423,64.97
27100,0.0591,65.21
27200,0.0764,65.45
27300,0.381,65.69
27400,0.3177,65.93
27500,0.3249,66.17
27600,0.1136,66.41
27700,0.1419,66.65
27800,0.0839,66.89
27900,0.1188,67.13
28000,0.0674,67.37
28100,0.0463,67.62
28200,0.1274,67.86
28300,0.0701,68.1
28400,0.1948,68.34
28500,0.0876,68.58
28600,0.0899,68.82
28700,0.1307,69.06
28800,0.0597,69.3
28900,0.0515,69.54
29000,0.137,69.78
29100,0.0408,70.02
29200,0.3079,70.26
29300,0.3766,70.5
29400,0.22,70.74
29500,0.0882,70.98
29600,0.1633,71.22
29700,0.2351,71.46
29800,0.1398,71.7
29900,0.0838,71.94
